DATE;TIME;LOAD
1/1/2017;1;6264.13
1/1/2017;2;5845.97
1/1/2017;3;5706.69
1/1/2017;4;5393.29
1/1/2017;5;5125.73
1/1/2017;6;5014.02
1/1/2017;7;5077.56
1/1/2017;8;5132.43
1/1/2017;9;5378.4
1/1/2017;10;5997.73
1/1/2017;11;6705.81
1/1/2017;12;7270.77
1/1/2017;13;7387.62
1/1/2017;14;7086.24
1/1/2017;15;6532.44
1/1/2017;16;6409.67
1/1/2017;17;6473.86
1/1/2017;18;6559.83
1/1/2017;19;7070.52
1/1/2017;20;7160.23
1/1/2017;21;7077.52
1/1/2017;22;6860.17
1/1/2017;23;6451.14
1/1/2017;24;6195.91
2/1/2017;1;5569.7
2/1/2017;2;5107.33
2/1/2017;3;5120.71
2/1/2017;4;4940.47
2/1/2017;5;4805.16
2/1/2017;6;4862.52
2/1/2017;7;5185.07
2/1/2017;8;5603.53
2/1/2017;9;6054.11
2/1/2017;10;6526.57
2/1/2017;11;6815.3
2/1/2017;12;6974.54
2/1/2017;13;7074.01
2/1/2017;14;7050.2
2/1/2017;15;6806.5
2/1/2017;16;6876.45
2/1/2017;17;6911.44
2/1/2017;18;7119.67
2/1/2017;19;7612.32
2/1/2017;20;7745.66
2/1/2017;21;7670.98
2/1/2017;22;7420.07
2/1/2017;23;6937.41
2/1/2017;24;6513.93
3/1/2017;1;5746.12
3/1/2017;2;5258.55
3/1/2017;3;5201.16
3/1/2017;4;5047.68
3/1/2017;5;4934.48
3/1/2017;6;4989.24
3/1/2017;7;5321.52
3/1/2017;8;6039.04
3/1/2017;9;6568.1
3/1/2017;10;7102.52
3/1/2017;11;7397.4
3/1/2017;12;7482.01
3/1/2017;13;7476.37
3/1/2017;14;7367.32
3/1/2017;15;7130.79
3/1/2017;16;7222.75
3/1/2017;17;7256.1
3/1/2017;18;7503.63
3/1/2017;19;7995.09
3/1/2017;20;8045.43
3/1/2017;21;7875.12
3/1/2017;22;7460.76
3/1/2017;23;6859.86
3/1/2017;24;6368.85
4/1/2017;1;5552.31
4/1/2017;2;5040.38
4/1/2017;3;4983.19
4/1/2017;4;4853.94
4/1/2017;5;4768.02
4/1/2017;6;4818.61
4/1/2017;7;5183.73
4/1/2017;8;5777.35
4/1/2017;9;6374.14
4/1/2017;10;6831.27
4/1/2017;11;6974.99
4/1/2017;12;6971.75
4/1/2017;13;6977.47
4/1/2017;14;6932.75
4/1/2017;15;6743.42
4/1/2017;16;6918.77
4/1/2017;17;6965.42
4/1/2017;18;7228.84
4/1/2017;19;7754.09
4/1/2017;20;7788.67
4/1/2017;21;7693.43
4/1/2017;22;7211.86
4/1/2017;23;6548.57
4/1/2017;24;6029.3
5/1/2017;1;5745.78
5/1/2017;2;5263.05
5/1/2017;3;5182.21
5/1/2017;4;5122.58
