datehour;TEMP_FORECAST
7/5/2022 0:00;13.175
7/5/2022 1:00;12.875
7/5/2022 2:00;12.525
7/5/2022 3:00;12.075
7/5/2022 4:00;11.8
7/5/2022 5:00;11.7
7/5/2022 6:00;12.325
7/5/2022 7:00;14.2
7/5/2022 8:00;15.975
7/5/2022 9:00;17.575
7/5/2022 10:00;18.8
7/5/2022 11:00;19.725
7/5/2022 12:00;20.25
7/5/2022 13:00;20.325
7/5/2022 14:00;20.525
7/5/2022 15:00;20.375
7/5/2022 16:00;19.975
7/5/2022 17:00;19.2
7/5/2022 18:00;18.075
7/5/2022 19:00;16.575
7/5/2022 20:00;15.35
7/5/2022 21:00;14.875
7/5/2022 22:00;14.125
7/5/2022 23:00;13.325
8/5/2022 0:00;12.875
8/5/2022 1:00;12.575
8/5/2022 2:00;12.225
8/5/2022 3:00;11.85
8/5/2022 4:00;11.875
8/5/2022 5:00;12.075
8/5/2022 6:00;12.825
8/5/2022 7:00;14.4
8/5/2022 8:00;16.175
8/5/2022 9:00;17.7
8/5/2022 10:00;18.6
8/5/2022 11:00;19.075
8/5/2022 12:00;19.25
8/5/2022 13:00;19.7
8/5/2022 14:00;20.4
8/5/2022 15:00;20.975
8/5/2022 16:00;20.2
8/5/2022 17:00;19.225
8/5/2022 18:00;18.25
8/5/2022 19:00;17.025
8/5/2022 20:00;15.85
8/5/2022 21:00;15
8/5/2022 22:00;14.1
8/5/2022 23:00;13.525
9/5/2022 0:00;13.075
9/5/2022 1:00;12.8
9/5/2022 2:00;12.6
9/5/2022 3:00;12.45
9/5/2022 4:00;12.5
9/5/2022 5:00;12.725
9/5/2022 6:00;13.375
9/5/2022 7:00;15.2
9/5/2022 8:00;17.325
9/5/2022 9:00;19.05
9/5/2022 10:00;20.15
9/5/2022 11:00;21
9/5/2022 12:00;21.9
9/5/2022 13:00;22.425
9/5/2022 14:00;22.6
9/5/2022 15:00;22.325
9/5/2022 16:00;21.7
9/5/2022 17:00;20.675
9/5/2022 18:00;19.475
9/5/2022 19:00;17.925
9/5/2022 20:00;16.4
9/5/2022 21:00;15.375
9/5/2022 22:00;14.35
9/5/2022 23:00;13.575
10/5/2022 0:00;12.925
10/5/2022 1:00;12.45
10/5/2022 2:00;11.975
10/5/2022 3:00;11.425
10/5/2022 4:00;11.625
10/5/2022 5:00;12.55
10/5/2022 6:00;13.325
10/5/2022 7:00;15.25
10/5/2022 8:00;17.175
10/5/2022 9:00;18.8
10/5/2022 10:00;20.1
10/5/2022 11:00;21.075
10/5/2022 12:00;21.925
10/5/2022 13:00;22.525
10/5/2022 14:00;22.7
10/5/2022 15:00;22.35
10/5/2022 16:00;21.55
10/5/2022 17:00;20.75
10/5/2022 18:00;19.825
10/5/2022 19:00;18.475
10/5/2022 20:00;17.075
10/5/2022 21:00;15.975
10/5/2022 22:00;14.9
10/5/2022 23:00;13.925
11/5/2022 0:00;13.075
11/5/2022 1:00;12.45
11/5/2022 2:00;12.175
11/5/2022 3:00;12.2
11/5/2022 4:00;12.15
11/5/2022 5:00;12.6
11/5/2022 6:00;13.55
11/5/2022 7:00;15.625
11/5/2022 8:00;17.85
11/5/2022 9:00;19.75
11/5/2022 10:00;21.2
11/5/2022 11:00;22.2
11/5/2022 12:00;23.1
11/5/2022 13:00;23.65
11/5/2022 14:00;23.875
11/5/2022 15:00;23.475
11/5/2022 16:00;22.775
11/5/2022 17:00;22.025
11/5/2022 18:00;21.075
11/5/2022 19:00;19.95
11/5/2022 20:00;18.925
11/5/2022 21:00;18.3
11/5/2022 22:00;17.35
11/5/2022 23:00;16.55
12/5/2022 0:00;15.85
12/5/2022 1:00;15.45
12/5/2022 2:00;15.025
12/5/2022 3:00;14.575
12/5/2022 4:00;14.25
12/5/2022 5:00;14.05
12/5/2022 6:00;14.9
12/5/2022 7:00;17.15
12/5/2022 8:00;19.3
12/5/2022 9:00;20.725
12/5/2022 10:00;22.175
12/5/2022 11:00;23.35
12/5/2022 12:00;24.025
12/5/2022 13:00;24.2
12/5/2022 14:00;23.9
12/5/2022 15:00;23.275
12/5/2022 16:00;22.575
12/5/2022 17:00;21.9
12/5/2022 18:00;21.15
12/5/2022 19:00;20.025
12/5/2022 20:00;19.225
12/5/2022 21:00;18.725
12/5/2022 22:00;18.225
12/5/2022 23:00;17.7
13/5/2022 0:00;17.15
13/5/2022 1:00;16.675
13/5/2022 2:00;16.15
13/5/2022 3:00;16.3
13/5/2022 4:00;16.85
13/5/2022 5:00;17.075
13/5/2022 6:00;17.1
13/5/2022 7:00;18.225
13/5/2022 8:00;19.65
13/5/2022 9:00;20.875
13/5/2022 10:00;22.075
