Datetime;Temperature
1/1/2017 0:00;4.3
1/1/2017 1:00;4.54
1/1/2017 2:00;4.79
1/1/2017 3:00;4.35
1/1/2017 4:00;4.17
1/1/2017 5:00;4.79
1/1/2017 6:00;4.35
1/1/2017 7:00;4.63
1/1/2017 8:00;6.24
1/1/2017 9:00;7.2
1/1/2017 10:00;7.7
1/1/2017 11:00;7.79
1/1/2017 12:00;8.32
1/1/2017 13:00;8.55
1/1/2017 14:00;8.24
1/1/2017 15:00;7.22
1/1/2017 16:00;6.45
1/1/2017 17:00;4.15
1/1/2017 18:00;3.41
1/1/2017 19:00;3.81
1/1/2017 20:00;2.24
1/1/2017 21:00;0.93
1/1/2017 22:00;0.57
1/1/2017 23:00;-0.38
2/1/2017 0:00;2.78
2/1/2017 1:00;1.28
2/1/2017 2:00;-0.57
2/1/2017 3:00;1.13
2/1/2017 4:00;0.09
2/1/2017 5:00;-0.21
2/1/2017 6:00;0.09
2/1/2017 7:00;2.07
2/1/2017 8:00;6.62
2/1/2017 9:00;9.07
2/1/2017 10:00;9.56
2/1/2017 11:00;11.34
2/1/2017 12:00;12.57
2/1/2017 13:00;12.64
2/1/2017 14:00;12.24
2/1/2017 15:00;10.94
2/1/2017 16:00;9.95
2/1/2017 17:00;7.24
2/1/2017 18:00;7.36
2/1/2017 19:00;7.33
2/1/2017 20:00;6.6
2/1/2017 21:00;7.24
2/1/2017 22:00;7.84
2/1/2017 23:00;4.62
3/1/2017 0:00;7.34
3/1/2017 1:00;7
3/1/2017 2:00;1.62
3/1/2017 3:00;5.17
3/1/2017 4:00;5.78
3/1/2017 5:00;3.7
3/1/2017 6:00;6.35
3/1/2017 7:00;6.08
3/1/2017 8:00;10.34
3/1/2017 9:00;12.25
3/1/2017 10:00;12.13
3/1/2017 11:00;14.79
3/1/2017 12:00;14.31
3/1/2017 13:00;14.6
3/1/2017 14:00;14.07
3/1/2017 15:00;13.19
3/1/2017 16:00;12.23
3/1/2017 17:00;8.7
3/1/2017 18:00;8.27
3/1/2017 19:00;7.8
3/1/2017 20:00;6.24
3/1/2017 21:00;7.16
3/1/2017 22:00;6.92
3/1/2017 23:00;4.79
4/1/2017 0:00;5.89
4/1/2017 1:00;5.83
4/1/2017 2:00;4.24
4/1/2017 3:00;5.69
4/1/2017 4:00;5.42
4/1/2017 5:00;4.7
4/1/2017 6:00;5.61
4/1/2017 7:00;6.74
4/1/2017 8:00;10.34
4/1/2017 9:00;12.71
4/1/2017 10:00;13.44
4/1/2017 11:00;14.79
4/1/2017 12:00;15.19
4/1/2017 13:00;15
4/1/2017 14:00;14.79
4/1/2017 15:00;13.76
4/1/2017 16:00;13.25
4/1/2017 17:00;11.24
4/1/2017 18:00;11.44
4/1/2017 19:00;10.69
4/1/2017 20:00;9.15
4/1/2017 21:00;9.88
4/1/2017 22:00;9.54
4/1/2017 23:00;6.62
5/1/2017 0:00;9.67
5/1/2017 1:00;9.64
5/1/2017 2:00;8.05
5/1/2017 3:00;7.78
5/1/2017 4:00;7.2
5/1/2017 5:00;6.15
5/1/2017 6:00;8.48
5/1/2017 7:00;8.68
5/1/2017 8:00;11.62
5/1/2017 9:00;14.18
5/1/2017 10:00;15.32
5/1/2017 11:00;16.34
5/1/2017 12:00;16.64
5/1/2017 13:00;16.34
5/1/2017 14:00;15.24
5/1/2017 15:00;14.56
5/1/2017 16:00;14.3
5/1/2017 17:00;14.24
5/1/2017 18:00;14.27
5/1/2017 19:00;14.11
5/1/2017 20:00;13.24
5/1/2017 21:00;13.77
5/1/2017 22:00;13.79
5/1/2017 23:00;13.79
6/1/2017 0:00;12.97
6/1/2017 1:00;13
6/1/2017 2:00;11.24
6/1/2017 3:00;11.31
6/1/2017 4:00;11.25
6/1/2017 5:00;10.7
6/1/2017 6:00;10.01
6/1/2017 7:00;9.71
6/1/2017 8:00;10.79
6/1/2017 9:00;11.2
6/1/2017 10:00;11.62
6/1/2017 11:00;11.79
6/1/2017 12:00;12.73
6/1/2017 13:00;12.6
6/1/2017 14:00;9.34
6/1/2017 15:00;8.15
6/1/2017 16:00;7.83
6/1/2017 17:00;6.79
6/1/2017 18:00;6.08
6/1/2017 19:00;6.08
6/1/2017 20:00;5.79
6/1/2017 21:00;4.57
6/1/2017 22:00;3.62
6/1/2017 23:00;2.24
7/1/2017 0:00;2.66
7/1/2017 1:00;2.32
7/1/2017 2:00;1.7
7/1/2017 3:00;1.38
7/1/2017 4:00;1.11
7/1/2017 5:00;-0.38
7/1/2017 6:00;1.42
7/1/2017 7:00;1.22
7/1/2017 8:00;0.7
7/1/2017 9:00;1.8
7/1/2017 10:00;2.1
7/1/2017 11:00;0.62
7/1/2017 12:00;2.01
7/1/2017 13:00;2
7/1/2017 14:00;1.15
7/1/2017 15:00;1.09
7/1/2017 16:00;1.41
7/1/2017 17:00;0.24
7/1/2017 18:00;0.37
7/1/2017 19:00;0.32
7/1/2017 20:00;-0.3
7/1/2017 21:00;-0.06
7/1/2017 22:00;-0.34
7/1/2017 23:00;-1.38
8/1/2017 0:00;-0.7
8/1/2017 1:00;-0.61
8/1/2017 2:00;-1.3
8/1/2017 3:00;-0.97
8/1/2017 4:00;-1.17
8/1/2017 5:00;-1.3
8/1/2017 6:00;-1.47
8/1/2017 7:00;-0.97
8/1/2017 8:00;-0.3
8/1/2017 9:00;0.74
8/1/2017 10:00;0.79
8/1/2017 11:00;1.7
8/1/2017 12:00;1.78
8/1/2017 13:00;1.54
8/1/2017 14:00;1.24
8/1/2017 15:00;0.86
8/1/2017 16:00;0.02
8/1/2017 17:00;-0.76
8/1/2017 18:00;-0.9
8/1/2017 19:00;-1.06
8/1/2017 20:00;-1.21
8/1/2017 21:00;-1.42
8/1/2017 22:00;-1.69
8/1/2017 23:00;-1.38
9/1/2017 0:00;-1.28
9/1/2017 1:00;-1.3
9/1/2017 2:00;-3.11
9/1/2017 3:00;-2.88
9/1/2017 4:00;-2.91
9/1/2017 5:00;-2.66
9/1/2017 6:00;-2.53
9/1/2017 7:00;-1.42
9/1/2017 8:00;-0.3
9/1/2017 9:00;0.88
9/1/2017 10:00;1.73
9/1/2017 11:00;1.24
9/1/2017 12:00;2.71
9/1/2017 13:00;2.71
9/1/2017 14:00;1.7
9/1/2017 15:00;1.35
9/1/2017 16:00;0.88
9/1/2017 17:00;0.24
9/1/2017 18:00;0.5
9/1/2017 19:00;-0.2
9/1/2017 20:00;-1.21
9/1/2017 21:00;-1.3
9/1/2017 22:00;-1.03
9/1/2017 23:00;-1.3
10/1/2017 0:00;-0.97
10/1/2017 1:00;-0.73
10/1/2017 2:00;-1.38
10/1/2017 3:00;-0.66
10/1/2017 4:00;-0.41
10/1/2017 5:00;-0.3
10/1/2017 6:00;0.29
10/1/2017 7:00;0.23
10/1/2017 8:00;0.62
10/1/2017 9:00;1.87
10/1/2017 10:00;1.66
10/1/2017 11:00;4.24
10/1/2017 12:00;3.94
10/1/2017 13:00;3.77
10/1/2017 14:00;4.34
10/1/2017 15:00;4.4
10/1/2017 16:00;3.93
10/1/2017 17:00;3.79
10/1/2017 18:00;4.59
10/1/2017 19:00;4.49
10/1/2017 20:00;3.15
10/1/2017 21:00;3.54
10/1/2017 22:00;3.52
10/1/2017 23:00;-0.38
11/1/2017 0:00;1.68
11/1/2017 1:00;1.57
11/1/2017 2:00;-0.21
11/1/2017 3:00;2.46
11/1/2017 4:00;2.47
11/1/2017 5:00;0.79
11/1/2017 6:00;5.26
11/1/2017 7:00;4.65
11/1/2017 8:00;6.89
11/1/2017 9:00;10.4
11/1/2017 10:00;10.48
11/1/2017 11:00;9.62
11/1/2017 12:00;10.3
11/1/2017 13:00;10.32
11/1/2017 14:00;10.24
11/1/2017 15:00;10.19
11/1/2017 16:00;10.18
11/1/2017 17:00;9.6
11/1/2017 18:00;11.02
11/1/2017 19:00;11.08
11/1/2017 20:00;9.7
11/1/2017 21:00;11.19
11/1/2017 22:00;11.27
11/1/2017 23:00;9.62
12/1/2017 0:00;11.34
12/1/2017 1:00;11.33
12/1/2017 2:00;8.7
12/1/2017 3:00;8.23
12/1/2017 4:00;7.96
12/1/2017 5:00;7.24
12/1/2017 6:00;6.86
12/1/2017 7:00;7.41
12/1/2017 8:00;9.79
12/1/2017 9:00;10.71
12/1/2017 10:00;9.87
12/1/2017 11:00;11.62
12/1/2017 12:00;12.6
12/1/2017 13:00;12.63
12/1/2017 14:00;12.34
12/1/2017 15:00;11.1
12/1/2017 16:00;9.63
12/1/2017 17:00;7.79
12/1/2017 18:00;6.41
12/1/2017 19:00;5.44
12/1/2017 20:00;4.79
12/1/2017 21:00;4.02
12/1/2017 22:00;3.22
12/1/2017 23:00;2.62
13/1/2017 0:00;1.93
13/1/2017 1:00;3.79
13/1/2017 2:00;0.62
13/1/2017 3:00;0.38
13/1/2017 4:00;0.34
13/1/2017 5:00;0.62
13/1/2017 6:00;1.96
13/1/2017 7:00;2.52
13/1/2017 8:00;7.34
13/1/2017 9:00;10.23
13/1/2017 10:00;11.42
13/1/2017 11:00;12.79
13/1/2017 12:00;12.74
13/1/2017 13:00;13.47
13/1/2017 14:00;12.79
13/1/2017 15:00;11.73
13/1/2017 16:00;10.67
13/1/2017 17:00;7.24
13/1/2017 18:00;6.46
13/1/2017 19:00;5.87
13/1/2017 20:00;5.24
13/1/2017 21:00;6.66
13/1/2017 22:00;6.66
13/1/2017 23:00;6.6
14/1/2017 0:00;7.47
14/1/2017 1:00;6.63
14/1/2017 2:00;5.51
14/1/2017 3:00;7.79
14/1/2017 4:00;10.28
14/1/2017 5:00;6.51
14/1/2017 6:00;8.58
14/1/2017 7:00;11.48
14/1/2017 8:00;11.62
14/1/2017 9:00;14.46
14/1/2017 10:00;14.77
14/1/2017 11:00;16.62
14/1/2017 12:00;16.26
14/1/2017 13:00;15.27
14/1/2017 14:00;13.7
14/1/2017 15:00;13.2
14/1/2017 16:00;12.73
14/1/2017 17:00;10.62
14/1/2017 18:00;9.27
14/1/2017 19:00;9.6
14/1/2017 20:00;9.34
14/1/2017 21:00;9.01
14/1/2017 22:00;9.01
14/1/2017 23:00;5.62
15/1/2017 0:00;6.58
15/1/2017 1:00;6.75
15/1/2017 2:00;7.79
15/1/2017 3:00;8.27
15/1/2017 4:00;8.85
15/1/2017 5:00;8.79
15/1/2017 6:00;9.06
15/1/2017 7:00;8.84
15/1/2017 8:00;9.79
15/1/2017 9:00;11.77
15/1/2017 10:00;12.41
15/1/2017 11:00;13.79
15/1/2017 12:00;13.3
15/1/2017 13:00;13.12
15/1/2017 14:00;12.34
15/1/2017 15:00;11.1
15/1/2017 16:00;10.6
15/1/2017 17:00;10.34
15/1/2017 18:00;9.65
15/1/2017 19:00;9.93
15/1/2017 20:00;8.34
15/1/2017 21:00;7.59
15/1/2017 22:00;7
15/1/2017 23:00;6.79
16/1/2017 0:00;7.11
16/1/2017 1:00;7.39
16/1/2017 2:00;7.24
16/1/2017 3:00;7.7
16/1/2017 4:00;7.56
16/1/2017 5:00;7.24
16/1/2017 6:00;6.82
16/1/2017 7:00;7.05
16/1/2017 8:00;9.34
16/1/2017 9:00;10.24
16/1/2017 10:00;10.77
16/1/2017 11:00;11.79
16/1/2017 12:00;12.15
16/1/2017 13:00;11.87
16/1/2017 14:00;11.34
16/1/2017 15:00;11.08
16/1/2017 16:00;10.6
16/1/2017 17:00;10.34
16/1/2017 18:00;10.21
16/1/2017 19:00;10.16
16/1/2017 20:00;9.34
16/1/2017 21:00;9.29
16/1/2017 22:00;8.8
16/1/2017 23:00;6.62
17/1/2017 0:00;7.39
17/1/2017 1:00;7.39
17/1/2017 2:00;6.24
17/1/2017 3:00;5.05
17/1/2017 4:00;5.83
17/1/2017 5:00;5.34
17/1/2017 6:00;5.08
17/1/2017 7:00;6.68
17/1/2017 8:00;11.53
17/1/2017 9:00;13.12
17/1/2017 10:00;12.9
17/1/2017 11:00;12.89
17/1/2017 12:00;13.6
17/1/2017 13:00;13.48
17/1/2017 14:00;12.34
17/1/2017 15:00;11.7
17/1/2017 16:00;11.7
17/1/2017 17:00;10.24
17/1/2017 18:00;9.75
17/1/2017 19:00;9.85
17/1/2017 20:00;7.79
17/1/2017 21:00;6.56
17/1/2017 22:00;6.75
17/1/2017 23:00;6.24
18/1/2017 0:00;6.06
18/1/2017 1:00;5.81
18/1/2017 2:00;4.79
18/1/2017 3:00;5.28
18/1/2017 4:00;4.34
18/1/2017 5:00;4.79
18/1/2017 6:00;6.44
18/1/2017 7:00;7.68
18/1/2017 8:00;8.79
18/1/2017 9:00;8.96
18/1/2017 10:00;11.61
18/1/2017 11:00;12.44
18/1/2017 12:00;13.87
18/1/2017 13:00;13.93
18/1/2017 14:00;12.79
18/1/2017 15:00;11.36
18/1/2017 16:00;11.14
18/1/2017 17:00;10.79
18/1/2017 18:00;10.45
18/1/2017 19:00;10.88
18/1/2017 20:00;11.24
18/1/2017 21:00;10.94
18/1/2017 22:00;10.14
18/1/2017 23:00;9.62
19/1/2017 0:00;9.81
19/1/2017 1:00;10.04
19/1/2017 2:00;9.24
19/1/2017 3:00;8.85
19/1/2017 4:00;8.85
19/1/2017 5:00;8.57
19/1/2017 6:00;8.84
19/1/2017 7:00;8.87
19/1/2017 8:00;10.79
19/1/2017 9:00;12.71
19/1/2017 10:00;12.84
19/1/2017 11:00;13.24
19/1/2017 12:00;12.77
19/1/2017 13:00;12.3
19/1/2017 14:00;11.79
19/1/2017 15:00;10.68
19/1/2017 16:00;10.18
19/1/2017 17:00;8.7
19/1/2017 18:00;8.71
19/1/2017 19:00;8.07
19/1/2017 20:00;7.79
19/1/2017 21:00;7.74
19/1/2017 22:00;7.74
19/1/2017 23:00;7.62
20/1/2017 0:00;7.75
20/1/2017 1:00;7.55
20/1/2017 2:00;7.34
20/1/2017 3:00;7.08
20/1/2017 4:00;7.13
20/1/2017 5:00;6.79
20/1/2017 6:00;7.04
20/1/2017 7:00;7.09
20/1/2017 8:00;8.62
20/1/2017 9:00;8.46
20/1/2017 10:00;9.26
20/1/2017 11:00;9.62
