DATETIME;MONTH;WEEKDAY;HOUR;TEMPERATURE
7/5/2022 0:00;5;6;1;13.175
7/5/2022 1:00;5;6;2;12.875
7/5/2022 2:00;5;6;3;12.525
7/5/2022 3:00;5;6;4;12.075
7/5/2022 4:00;5;6;5;11.8
7/5/2022 5:00;5;6;6;11.7
7/5/2022 6:00;5;6;7;12.325
7/5/2022 7:00;5;6;8;14.2
7/5/2022 8:00;5;6;9;15.975
7/5/2022 9:00;5;6;10;17.575
7/5/2022 10:00;5;6;11;18.8
7/5/2022 11:00;5;6;12;19.725
7/5/2022 12:00;5;6;13;20.25
7/5/2022 13:00;5;6;14;20.325
7/5/2022 14:00;5;6;15;20.525
7/5/2022 15:00;5;6;16;20.375
7/5/2022 16:00;5;6;17;19.975
7/5/2022 17:00;5;6;18;19.2
7/5/2022 18:00;5;6;19;18.075
7/5/2022 19:00;5;6;20;16.575
7/5/2022 20:00;5;6;21;15.35
7/5/2022 21:00;5;6;22;14.875
7/5/2022 22:00;5;6;23;14.125
7/5/2022 23:00;5;6;24;13.325
8/5/2022 0:00;5;7;1;12.875
8/5/2022 1:00;5;7;2;12.575
8/5/2022 2:00;5;7;3;12.225
8/5/2022 3:00;5;7;4;11.85
8/5/2022 4:00;5;7;5;11.875
8/5/2022 5:00;5;7;6;12.075
8/5/2022 6:00;5;7;7;12.825
8/5/2022 7:00;5;7;8;14.4
8/5/2022 8:00;5;7;9;16.175
8/5/2022 9:00;5;7;10;17.7
8/5/2022 10:00;5;7;11;18.6
8/5/2022 11:00;5;7;12;19.075
8/5/2022 12:00;5;7;13;19.25
8/5/2022 13:00;5;7;14;19.7
8/5/2022 14:00;5;7;15;20.4
8/5/2022 15:00;5;7;16;20.975
8/5/2022 16:00;5;7;17;20.2
8/5/2022 17:00;5;7;18;19.225
8/5/2022 18:00;5;7;19;18.25
8/5/2022 19:00;5;7;20;17.025
8/5/2022 20:00;5;7;21;15.85
8/5/2022 21:00;5;7;22;15
8/5/2022 22:00;5;7;23;14.1
8/5/2022 23:00;5;7;24;13.525
