"DATETIME","LOAD","MONTH","WEEKDAY","HOUR","TEMPERATURE"
2017-01-01 00:00:00,6264.13,1,7,1,4.3
2017-01-01 01:00:00,5845.97,1,7,2,4.54
2017-01-01 02:00:00,5706.69,1,7,3,4.79
2017-01-01 03:00:00,5393.29,1,7,4,4.35
2017-01-01 04:00:00,5125.73,1,7,5,4.17
2017-01-01 05:00:00,5014.02,1,7,6,4.79
2017-01-01 06:00:00,5077.56,1,7,7,4.35
2017-01-01 07:00:00,5132.43,1,7,8,4.63
2017-01-01 08:00:00,5378.4,1,7,9,6.24
2017-01-01 09:00:00,5997.73,1,7,10,7.2
2017-01-01 10:00:00,6705.81,1,7,11,7.7
2017-01-01 11:00:00,7270.77,1,7,12,7.79
2017-01-01 12:00:00,7387.62,1,7,13,8.32
2017-01-01 13:00:00,7086.24,1,7,14,8.55
2017-01-01 14:00:00,6532.44,1,7,15,8.24
2017-01-01 15:00:00,6409.67,1,7,16,7.22
2017-01-01 16:00:00,6473.86,1,7,17,6.45
2017-01-01 17:00:00,6559.83,1,7,18,4.15
2017-01-01 18:00:00,7070.52,1,7,19,3.41
2017-01-01 19:00:00,7160.23,1,7,20,3.81
2017-01-01 20:00:00,7077.52,1,7,21,2.24
2017-01-01 21:00:00,6860.17,1,7,22,0.93
2017-01-01 22:00:00,6451.14,1,7,23,0.57
2017-01-01 23:00:00,6195.91,1,7,24,-0.38
2017-01-02 00:00:00,5569.7,1,1,1,2.78
2017-01-02 01:00:00,5107.33,1,1,2,1.28
2017-01-02 02:00:00,5120.71,1,1,3,-0.57
2017-01-02 03:00:00,4940.47,1,1,4,1.13
2017-01-02 04:00:00,4805.16,1,1,5,0.09
2017-01-02 05:00:00,4862.52,1,1,6,-0.21
2017-01-02 06:00:00,5185.07,1,1,7,0.09
2017-01-02 07:00:00,5603.53,1,1,8,2.07
2017-01-02 08:00:00,6054.11,1,1,9,6.62
2017-01-02 09:00:00,6526.57,1,1,10,9.07
2017-01-02 10:00:00,6815.3,1,1,11,9.56
2017-01-02 11:00:00,6974.54,1,1,12,11.34
2017-01-02 12:00:00,7074.01,1,1,13,12.57
2017-01-02 13:00:00,7050.2,1,1,14,12.64
2017-01-02 14:00:00,6806.5,1,1,15,12.24
2017-01-02 15:00:00,6876.45,1,1,16,10.94
2017-01-02 16:00:00,6911.44,1,1,17,9.95
2017-01-02 17:00:00,7119.67,1,1,18,7.24
2017-01-02 18:00:00,7612.32,1,1,19,7.36
2017-01-02 19:00:00,7745.66,1,1,20,7.33
2017-01-02 20:00:00,7670.98,1,1,21,6.6
2017-01-02 21:00:00,7420.07,1,1,22,7.24
2017-01-02 22:00:00,6937.41,1,1,23,7.84
2017-01-02 23:00:00,6513.93,1,1,24,4.62
2017-01-03 00:00:00,5746.12,1,2,1,7.34
2017-01-03 01:00:00,5258.55,1,2,2,7
2017-01-03 02:00:00,5201.16,1,2,3,1.62
2017-01-03 03:00:00,5047.68,1,2,4,5.17
2017-01-03 04:00:00,4934.48,1,2,5,5.78
2017-01-03 05:00:00,4989.24,1,2,6,3.7
2017-01-03 06:00:00,5321.52,1,2,7,6.35
2017-01-03 07:00:00,6039.04,1,2,8,6.08
2017-01-03 08:00:00,6568.1,1,2,9,10.34
2017-01-03 09:00:00,7102.52,1,2,10,12.25
2017-01-03 10:00:00,7397.4,1,2,11,12.13
2017-01-03 11:00:00,7482.01,1,2,12,14.79
2017-01-03 12:00:00,7476.37,1,2,13,14.31
2017-01-03 13:00:00,7367.32,1,2,14,14.6
2017-01-03 14:00:00,7130.79,1,2,15,14.07
2017-01-03 15:00:00,7222.75,1,2,16,13.19
2017-01-03 16:00:00,7256.1,1,2,17,12.23
2017-01-03 17:00:00,7503.63,1,2,18,8.7
2017-01-03 18:00:00,7995.09,1,2,19,8.27
2017-01-03 19:00:00,8045.43,1,2,20,7.8
2017-01-03 20:00:00,7875.12,1,2,21,6.24
2017-01-03 21:00:00,7460.76,1,2,22,7.16
2017-01-03 22:00:00,6859.86,1,2,23,6.92
2017-01-03 23:00:00,6368.85,1,2,24,4.79
2017-01-04 00:00:00,5552.31,1,3,1,5.89
2017-01-04 01:00:00,5040.38,1,3,2,5.83
2017-01-04 02:00:00,4983.19,1,3,3,4.24
2017-01-04 03:00:00,4853.94,1,3,4,5.69
2017-01-04 04:00:00,4768.02,1,3,5,5.42
2017-01-04 05:00:00,4818.61,1,3,6,4.7
2017-01-04 06:00:00,5183.73,1,3,7,5.61
2017-01-04 07:00:00,5777.35,1,3,8,6.74
2017-01-04 08:00:00,6374.14,1,3,9,10.34
2017-01-04 09:00:00,6831.27,1,3,10,12.71
2017-01-04 10:00:00,6974.99,1,3,11,13.44
2017-01-04 11:00:00,6971.75,1,3,12,14.79
2017-01-04 12:00:00,6977.47,1,3,13,15.19
2017-01-04 13:00:00,6932.75,1,3,14,15
2017-01-04 14:00:00,6743.42,1,3,15,14.79
2017-01-04 15:00:00,6918.77,1,3,16,13.76
2017-01-04 16:00:00,6965.42,1,3,17,13.25
2017-01-04 17:00:00,7228.84,1,3,18,11.24
2017-01-04 18:00:00,7754.09,1,3,19,11.44
2017-01-04 19:00:00,7788.67,1,3,20,10.69
2017-01-04 20:00:00,7693.43,1,3,21,9.15
2017-01-04 21:00:00,7211.86,1,3,22,9.88
2017-01-04 22:00:00,6548.57,1,3,23,9.54
